country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Maihar,"Sahilara, Maihar - KJS Cements","14-04-2025 13:00:00",24.2613009,80.7231783,CO,30,47,44
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","14-04-2025 13:00:00",23.108440,77.511428,PM2.5,37,335,179
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","14-04-2025 13:00:00",26.203442,78.193251,CO,12,48,28
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","14-04-2025 13:00:00",26.259242,78.216432,SO2,10,23,18
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","14-04-2025 13:00:00",22.4310,75.5213,PM10,90,173,121
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","14-04-2025 13:00:00",22.4310,75.5213,NO2,52,115,70
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","14-04-2025 13:00:00",22.4310,75.5213,NH3,2,12,10
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","14-04-2025 13:00:00",22.4310,75.5213,SO2,7,25,13
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","14-04-2025 13:00:00",22.6780,75.8559,NO2,32,48,39
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","14-04-2025 13:00:00",22.6780,75.8559,OZONE,9,19,13
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","14-04-2025 13:00:00",23.233584,77.400574,NO2,19,79,43
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","14-04-2025 13:00:00",23.233584,77.400574,NH3,12,32,19
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","14-04-2025 13:00:00",23.233584,77.400574,CO,28,101,66
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","14-04-2025 13:00:00",23.233584,77.400574,OZONE,17,270,262
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","14-04-2025 13:00:00",23.81748678,79.446246,PM2.5,12,44,24
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","14-04-2025 13:00:00",23.81748678,79.446246,SO2,13,17,15
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","14-04-2025 13:00:00",23.81748678,79.446246,CO,16,23,19
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","14-04-2025 13:00:00",22.9682591,76.064118,OZONE,6,56,20
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","14-04-2025 13:00:00",13.328028,75.797056,PM10,24,35,28
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","14-04-2025 13:00:00",13.328028,75.797056,NO2,17,27,24
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","14-04-2025 13:00:00",14.475800,75.905200,NO2,NA,NA,NA
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","14-04-2025 13:00:00",14.475800,75.905200,CO,34,35,35
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","14-04-2025 13:00:00",15.459706,75.008381,NH3,4,5,4
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","14-04-2025 13:00:00",15.459706,75.008381,CO,28,88,40
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","14-04-2025 13:00:00",15.411456,75.638133,PM10,46,80,59
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","14-04-2025 13:00:00",8.5149093,76.9435879,PM2.5,18,127,46
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","14-04-2025 13:00:00",8.5149093,76.9435879,NH3,2,3,3
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","14-04-2025 13:00:00",8.5149093,76.9435879,CO,10,15,11
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","14-04-2025 13:00:00",10.532400,76.215900,PM10,54,62,59
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","14-04-2025 13:00:00",23.264759,77.381568,PM10,73,162,112
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","14-04-2025 13:00:00",23.264759,77.381568,OZONE,29,119,73
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","14-04-2025 13:00:00",22.7084,75.8815,CO,16,19,17
India,"Madhya Pradesh",Indore,"Vijay Nagar Scheme-78, Indore - Glenmark","14-04-2025 13:00:00",22.76726,75.88710,PM2.5,49,53,51
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","14-04-2025 13:00:00",23.163174,79.973061,OZONE,22,96,56
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","14-04-2025 13:00:00",23.142888,79.916147,NO2,18,53,32
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","14-04-2025 13:00:00",22.624758,75.675238,NH3,4,6,5
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","14-04-2025 13:00:00",23.331731,75.045981,PM10,42,159,107
India,"Madhya Pradesh",Satna,"Bandhavgar Colony, Satna - Birla Cement","14-04-2025 13:00:00",24.58434363,80.8549414,PM2.5,42,43,42
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","14-04-2025 13:00:00",24.108970,82.645580,PM10,41,147,94
India,"Madhya Pradesh",Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB","14-04-2025 13:00:00","23.182719 ","75.768218 ",OZONE,46,66,50
